time,value
977943,[2]
999325,"[2, 7]"
1498793,[7]
1535193,[]
1686820,[4]
1689049,"[8, 4]"
1749153,"[8, 4, 5]"
1812755,"[4, 5, 6, 8]"
1891939,"[1, 4, 5, 6, 8]"
2009757,"[1, 4, 5, 6]"
2065201,"[1, 3, 4, 5, 6]"
2126899,"[1, 3, 4, 6]"
2181726,"[1, 3, 6]"
2275994,"[1, 3]"
2644980,[1]
2687014,[]
213055653,[1]
304053622,"[1, 5]"
322054193,[1]
354051336,"[1, 5]"
371899314,[5]
371928915,"[1, 5]"
372122615,[5]
373041013,"[1, 5]"
375936831,[5]
386038963,"[1, 5]"
389052301,"[1, 5, 7]"
394946326,"[5, 7]"
397059510,"[3, 5, 7]"
406039930,"[3, 5]"
420489126,[5]
436054572,"[1, 5]"
437664313,[1]
437693043,"[1, 5]"
437858772,[1]
438045274,"[1, 7]"
439057703,"[1, 7, 8]"
439322017,"[7, 8]"
443034931,"[5, 7, 8]"
444054088,"[3, 5, 7, 8]"
444590813,"[3, 7, 8]"
446038783,"[1, 3, 7, 8]"
448032932,"[1, 3, 4, 7, 8]"
451037691,"[1, 2, 3, 4, 7, 8]"
451045109,"[1, 2, 3, 4, 6, 7, 8]"
453793609,"[2, 3, 4, 6, 7, 8]"
453821722,"[1, 2, 3, 4, 6, 7, 8]"
453980586,"[2, 3, 4, 6, 7, 8]"
457228633,"[2, 3, 4, 6, 7]"
464928218,"[2, 3, 6, 7]"
469455342,"[2, 3, 6]"
469484605,"[2, 3, 6, 7]"
469651188,"[2, 3, 6]"
470472554,"[2, 3]"
471051415,"[1, 2, 3]"
471409930,"[1, 3]"
473033945,"[1, 3, 7]"
473258908,"[3, 7]"
479044490,"[1, 3, 7]"
480458270,"[1, 7]"
480487130,"[1, 3, 7]"
480643769,"[1, 7]"
482023944,"[1, 3, 7]"
491034330,"[1, 3, 7, 8]"
492045646,"[1, 3, 5, 7, 8]"
492604940,"[1, 3, 7, 8]"
497032615,"[1, 3, 4, 7, 8]"
501038916,"[1, 3, 4, 6, 7, 8]"
503049450,"[1, 2, 3, 4, 6, 7, 8]"
516044730,"[1, 2, 3, 4, 5, 6, 7, 8]"
518941187,"[1, 2, 3, 4, 6, 7, 8]"
520278697,"[1, 2, 4, 6, 7, 8]"
520307628,"[1, 2, 3, 4, 6, 7, 8]"
520470078,"[1, 2, 4, 6, 7, 8]"
520505391,"[1, 2, 3, 4, 6, 7, 8]"
521584208,"[1, 2, 3, 4, 6, 7]"
521614602,"[1, 2, 3, 4, 6, 7, 8]"
521776302,"[1, 2, 3, 4, 6, 7]"
525466742,"[1, 2, 4, 6, 7]"
526842341,"[1, 2, 6, 7]"
526872912,"[1, 2, 4, 6, 7]"
527032336,"[1, 2, 6, 7]"
527041360,"[1, 2, 6, 7, 8]"
532026486,"[1, 2, 5, 6, 7, 8]"
532055918,"[1, 2, 3, 5, 6, 7, 8]"
533038040,"[1, 2, 3, 4, 5, 6, 7, 8]"
533110086,"[1, 3, 4, 5, 6, 7, 8]"
533139120,"[1, 2, 3, 4, 5, 6, 7, 8]"
533299879,"[1, 3, 4, 5, 6, 7, 8]"
534016875,"[1, 4, 5, 6, 7, 8]"
534025033,"[1, 2, 4, 5, 6, 7, 8]"
534057903,"[1, 2, 3, 4, 5, 6, 7, 8]"
534307037,"[1, 2, 4, 5, 6, 7, 8]"
535023558,"[1, 2, 4, 5, 6, 7, 8]"
535260003,"[1, 2, 4, 5, 7, 8]"
535289587,"[1, 2, 4, 5, 6, 7, 8]"
535447044,"[1, 2, 4, 5, 7, 8]"
542887339,"[1, 2, 4, 5, 8]"
